Ortsname,Breitengrad,Längengrad,Datum,An- oder Abreise,Bemerkungen
Berlin,,,,Abreise,
Stockholm,59.325,18.05,1933,Anreise,
Stockholm,59.325,18.05,1935-06-18,Abreise,
Finnland,,,1935-06,Anreise,Durchreise
Finnland,,,1935-06,Abreise,Durchreise
Leningrad,,,1935-06,Anreise,Durchreise
Leningrad,,[„wenige Stunden“],1935-06,Abreise,Durchreise
Moskau,,,1935-06,Anreise,
Moskau,,,Sommer 1939,Abreise,
Jejsk (Asowsches Meer),,,Sommer 1939,Anreise,
Jejsk (Asowsches Meer),,,Sommer 1939,Abreise,
Moskau,,,Sommer 1939,Anreise,
Moskau,,,1941-09-28,Abreise,
Rjashsk,,,,Anreise,
Rjashsk,,,,Abreise,
Morschansk,,,,Anreise,
Morschansk,,,,Abreise,
Pensa,,,1941-10-04,Anreise,Durchreise
Pensa,,,1941-10-04,Abreise,Durchreise
Kuibyschew,,,,Anreise,
Kuibyschew,,,,Abreise,
Buguruslan,,,,Anreise,
Buguruslan,,,,Abreise,
Petropawlowsk,,,1941-10-14,Anreise,
Petropawlowsk,,,,Abreise,
Ossokarowka,,,[1941-10-19],Anreise,
Ossokarowka,,,,Abreise,
Karaganda,,,[1941-10/1941-11],Anreise,
Karaganda,,,1942-05,Abreise,
Balschach,,,[1942-05],Anreise,
Balschach,,,,Abreise,
Karaschgan,,,,Anreise,
Karaschgan,,,,Abreise,
Lepsy,,,,Anreise,
Lepsy,,,,Abreise,
Alma Ata,,,[nach 10 Tagen],Anreise,
Alma Ata,,,,Abreise,
Nowosibirsk,,,[„nach mehrtägiger Fahrt“],Anreise,
Nowosibirsk,,,[1 Woche später],Abreise,
Petropawlowsk,,,,Anreise,
Petropawlowsk,,,,Abreise,
Karaganda,,,1942-07,Anreise,
Karaganda,,,,Abreise,
Petropawlowsk,,,,Anreise,Durchreise
Petropawlowsk,,,,Abreise,
Ufa,,,,Anreise,
Ufa,,,[1 Woche später],Abreise,
Blagoweschtschenk,,,,Anreise,
Blagoweschtschenk,,,,Abreise,
Kuschnarenkowo,,,,Anreise,
Kuschnarenkowo,,,,Abreise,
Schule,,,,Anreise,
Schule,,,,Abreise,
Ufa,,,,Anreise,
Ufa,,,1943-07-21,Abreise,
Moskau,,,1943-07-22,Anreise,
Moskau,,,1945-04-30,Abreise,
Berlin,,,,Anreise,
Berlin,,,1949-03-12,Abreise,
Belgrad,,,1949-05-25,Anreise,
Belgrad,,,,Abreise,
